  Number     Name    CFNHWG0001  CVODGT0002  CPXIJU0003  CETDXH0004  CGCCDR0005  CGARWR0006  CPAKQS0007  CEZNMQ0008  CVECRX0009  CHFWUG0010  CMSONV0011  CELMFZ0012  CBIIFR0013  CAOKHQ0014  CGJAPT0015  CZUTDS0016  CJAKDJ0017  CZMWTL0018  COPJOP0019  CFPHJF0020 
 20220423  YMNI0423      No          No          Yes         No          No          No          No          No          Yes         No          Yes         No          Yes         No          No          No          Yes         Yes         No          No     
 20220424  PZGB0424      No          No          No          No          No          No          No          No          No          No          No          No          Yes         No          Yes         Yes         Yes         No          Yes         Yes    
 20220425  QTDT0425      No          No          Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          No          No          No          Yes         Yes         No          No     
 20220426  XJPR0426      Yes         No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          Yes         No          Yes         No          Yes    
 20220427  MUBG0427      No          Yes         No          Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          Yes    
 20220428  YROE0428      No          No          No          Yes         No          No          Yes         No          Yes         No          No          Yes         No          No          No          Yes         No          No          No          No     
 20220429  HOZZ0429      No          No          Yes         No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          No     
 20220430  NWRW0430      No          No          No          No          No          Yes         Yes         Yes         No          Yes         No          No          No          No          Yes         No          Yes         No          No          No     
 20220431  XSOL0431      No          No          No          No          No          No          No          No          Yes         No          Yes         Yes         Yes         Yes         No          No          Yes         No          No          No     
 20220432  UBSC0432      No          No          No          No          Yes         Yes         Yes         No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          No     
 20220433  TVBY0433      No          No          Yes         No          No          No          No          Yes         No          No          No          No          No          No          No          No          Yes         Yes         Yes         No     
 20220434  VFYR0434      No          No          No          No          Yes         Yes         Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         No          No     
 20220435  WYOA0435      No          No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          No     
 20220436  PAKU0436      No          Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          Yes    
 20220437  LDIJ0437      No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         Yes    
 20220438  KXBN0438      No          No          No          Yes         No          Yes         No          Yes         No          No          No          Yes         No          No          Yes         No          No          Yes         No          Yes    
 20220439  WJYD0439      No          No          Yes         No          No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         Yes         No          No          No          Yes    
 20220440  LXAN0440      Yes         No          Yes         No          Yes         Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          No          No     
 20220441  UWDD0441      No          Yes         No          No          Yes         No          No          No          No          No          No          Yes         No          Yes         Yes         Yes         No          No          Yes         No     
 20220442  FXVW0442      No          No          Yes         No          Yes         No          No          No          No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         No     
 20220443  QQQZ0443      No          No          No          No          No          Yes         Yes         Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          No          Yes    
 20220444  KYDN0444      No          No          Yes         Yes         No          Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes    
 20220445  ZBBV0445      No          Yes         No          No          Yes         No          No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          Yes    
 20220446  TCHA0446      Yes         No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          Yes         No          Yes    
 20220447  CFRQ0447      No          No          No          No          No          Yes         Yes         Yes         Yes         No          No          No          No          No          No          No          No          No          No          No     
 20220448  LXZK0448      No          Yes         Yes         No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         Yes    
 20220449  ZXBY0449      No          No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         Yes         No          No     
 20220450  PMYS0450      No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          Yes         No          Yes         No          No     
 20220451  ITSY0451      Yes         Yes         No          No          No          No          No          Yes         No          Yes         No          No          No          No          No          No          No          No          Yes         No     
 20220452  APQH0452      Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          No          No          Yes         No          Yes    
 20220453  JGRN0453      No          Yes         No          No          No          Yes         No          No          No          No          Yes         Yes         No          No          No          No          Yes         No          No          No     
 20220454  SKRJ0454      No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes         Yes         Yes         Yes         No     
 20220455  ELAT0455      No          Yes         No          Yes         No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          Yes    
 20220456  JREJ0456      No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          Yes    
 20220457  MJWC0457      Yes         No          Yes         No          No          No          Yes         No          Yes         No          Yes         Yes         No          No          No          No          No          No          No          No     
 20220458  UWMB0458      No          Yes         No          Yes         No          Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          No          No     
 20220459  OKZE0459      No          No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          Yes         No          No     
 20220460  SBBM0460      No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No          No          Yes         Yes         No          No     
 20220461  TUJS0461      No          No          No          No          Yes         Yes         No          Yes         No          Yes         No          Yes         No          Yes         No          No          Yes         No          No          No     
 20220462  FGND0462      No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          Yes         Yes         No          No          Yes         No          No          No     
 20220463  AXVJ0463      No          No          Yes         No          No          No          Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          No     
 20220464  FTGY0464      No          No          Yes         No          No          Yes         No          No          No          No          Yes         Yes         No          Yes         No          No          Yes         No          Yes         No     
 20220465  FJID0465      Yes         No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No          No          Yes    
 20220466  OXAX0466      No          Yes         Yes         No          No          Yes         No          No          Yes         No          No          No          No          No          No          No          No          Yes         No          No     
 20220467  DATY0467      No          No          No          Yes         No          Yes         No          Yes         No          Yes         No          No          No          No          No          Yes         No          Yes         No          Yes    
 20220468  CFGD0468      Yes         No          No          No          Yes         No          No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          No          No     
 20220469  HTNM0469      No          No          No          No          No          No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         Yes         No          No     
 20220470  KZKT0470      No          Yes         No          No          Yes         No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No     
 20220471  OYIN0471      Yes         No          No          No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         Yes    
 20220472  ZQIM0472      No          Yes         No          No          Yes         No          Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          No          No          Yes    
 20220473  BKNA0473      Yes         No          Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         Yes         No          No          No          No          Yes    
 20220474  TKER0474      Yes         No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          No          Yes         Yes         No          No     
 20220475  RRKH0475      No          No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          No          No          Yes    
 20220476  GSRD0476      Yes         No          Yes         No          Yes         No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          Yes         No     
 20220477  WBBZ0477      Yes         No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          No          Yes    
 20220478  UOGH0478      No          No          Yes         No          No          No          No          No          Yes         No          Yes         Yes         No          No          No          Yes         No          Yes         No          No     
 20220479  CRVE0479      No          Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          No          No          No          No          No     
 20220480  TXKW0480      Yes         Yes         Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          No     
 20220481  ZXKC0481      No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          Yes         Yes         Yes         No          No          No          No          No          No     
 20220482  LMZL0482      No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         Yes         No          No          No          Yes         No          No          No          Yes    
 20220483  FPVX0483      No          No          No          Yes         Yes         Yes         Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          No          Yes    
 20220484  XHYP0484      No          Yes         No          Yes         No          Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          No     
 20220485  WMMD0485      No          Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          Yes         Yes         No          No     
 20220486  XJSC0486      No          No          No          No          No          No          Yes         Yes         No          Yes         Yes         No          No          No          Yes         No          Yes         No          No          No     
 20220487  ADLT0487      No          Yes         No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          Yes         No          No          No     
 20220488  NHAI0488      Yes         No          No          Yes         No          No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         No          No     
 20220489  HIRR0489      No          No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          Yes         No          No          No          Yes         No          No     
 20220490  JVSE0490      No          No          No          Yes         No          No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No          No     
 20220491  SZXV0491      Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          Yes    
 20220492  VYXI0492      Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          No          No          Yes         No     
 20220493  ZUMI0493      Yes         Yes         No          No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          Yes    
 20220494  SENZ0494      No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          No     
 20220495  OZJW0495      No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          Yes         No          Yes    
 20220496  MDXS0496      No          No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         No     
 20220497  DROK0497      No          No          No          No          Yes         No          No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          Yes         No          Yes    
 20220498  AJJE0498      No          Yes         No          Yes         Yes         Yes         No          No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         No     
 20220499  EGVW0499      No          Yes         No          Yes         Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          No          No          No          No          No     
 20220500  DJOL0500      No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          Yes         Yes         Yes         No          No     
